Player,Pos,GP,PP_TOI,SH_TOI,PP GF/60,PP GA/60,STS/60,PPGF,PPGA,STS,SHP,PP GA ADJ,PP GA/60 ADJ,STSA,STSA/60,PPP,PP TOI%,SH TOI%,ST TOI%
Miro Heiskanen,D,150,292.2,254.75,5.95,6.59,-0.6399999999999997,29.0,28.0,1.0,1,27.0,6.36,2.0,-0.41,15,43.3,34.1,77.4
Artturi Lehkonen,L,291,252.6,488.97,5.94,7.73,-1.79,25.0,63.0,-38.0,3,60.0,7.36,-35.0,-1.42,8,18.3,33.9,52.2
Derek Grant,C,259,111.6,439.15,5.91,7.79,-1.88,11.0,57.0,-46.0,7,50.0,6.83,-39.0,-0.92,5,9.2,31.5,40.7
Charlie Coyle,C,533,955.35,303.48,5.9,6.92,-1.0199999999999996,94.0,35.0,59.0,5,30.0,5.93,64.0,-0.03,33,35.7,11.8,47.5
Matt Hunwick,D,244,50.85,534.73,5.9,7.07,-1.17,5.0,63.0,-58.0,1,62.0,6.96,-57.0,-1.06,4,4.0,42.1,46.1
Valtteri Filppula,C,535,1190.62,800.3,5.9,6.75,-0.8499999999999996,117.0,90.0,27.0,5,85.0,6.37,32.0,-0.47,61,40.8,29.7,70.5
Brian Gionta,R,331,580.68,489.47,5.89,5.88,0.009999999999999787,57.0,48.0,9.0,4,44.0,5.39,13.0,0.5,32,34.0,28.4,62.4
Tyler Myers,D,447,896.5,1018.95,5.89,6.71,-0.8200000000000003,88.0,114.0,-26.0,8,106.0,6.24,-18.0,-0.35,48,37.7,41.5,79.2
Noah Hanifin,D,389,672.78,269.8,5.89,6.0,-0.11000000000000032,66.0,27.0,39.0,2,25.0,5.56,41.0,0.33,35,35.2,16.0,51.2
Drake Caggiula,C,222,194.27,152.73,5.87,9.82,-3.95,19.0,25.0,-6.0,4,21.0,8.25,-2.0,-2.38,9,17.9,14.1,32.0
Brett Pesce,D,350,163.7,789.1,5.86,6.46,-0.5999999999999996,16.0,85.0,-69.0,4,81.0,6.16,-65.0,-0.3,7,9.6,49.6,59.2
Lee Stempniak,R,347,525.7,277.78,5.82,5.4,0.41999999999999993,51.0,25.0,26.0,6,19.0,4.1,32.0,1.72,24,30.8,16.7,47.5
